epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7884615659713745,0.8863996863365173,0.0010000000474974513,0.449289470911026,0.6602209806442261,0.818493127822876,0.3525179922580719,0.9855442047119141,0.7268688678741455,0.3525179922580719,1.0
1,0.9615384340286255,0.9958840608596802,0.0010000000474974513,0.1365409642457962,0.9220778942108154,0.9726027250289917,0.3525179922580719,0.9945578575134277,0.8046398162841797,0.3525179922580719,1.0
2,0.9867788553237915,0.998883843421936,0.0010000000474974513,0.08856161683797836,0.9762712121009827,0.9863013625144958,0.3525179922580719,0.9970521926879883,0.971412718296051,0.3525179922580719,1.0
3,0.9867788553237915,0.9994229078292847,0.0010000000474974513,0.07144375145435333,0.9730639457702637,0.9897260069847107,0.3525179922580719,0.9988945126533508,1.2472403049468994,0.3525179922580719,1.0
4,0.9903846383094788,0.999749481678009,0.0010000000474974513,0.06111177057027817,0.9829931855201721,0.9897260069847107,0.3525179922580719,0.9989796280860901,1.591050624847412,0.3525179922580719,1.0
5,0.995192289352417,0.9998129606246948,0.0010000000474974513,0.056497201323509216,0.9965517520904541,0.9897260069847107,0.3525179922580719,0.9980158805847168,1.994113802909851,0.3525179922580719,1.0
6,0.9939903616905212,0.9994736909866333,0.0010000000474974513,0.06027516350150108,0.9897611141204834,0.9931507110595703,0.3525179922580719,0.9865079522132874,2.4388492107391357,0.3525179922580719,1.0
7,0.9927884340286255,0.999755859375,0.0010000000474974513,0.05448474362492561,0.9831081032752991,0.9965753555297852,0.3525179922580719,0.9672335386276245,2.943937301635742,0.3525179922580719,1.0
8,1.0,1.0,0.0005000000237487257,0.048362672328948975,1.0,1.0,0.3525179922580719,0.9846938848495483,3.288210153579712,0.3525179922580719,1.0
9,0.9963942170143127,0.9999302625656128,0.0005000000237487257,0.04838952049612999,0.9931740760803223,0.9965753555297852,0.3525179922580719,0.5222222208976746,3.575767993927002,0.3525179922580719,1.0
10,0.995192289352417,0.9999715089797974,0.0005000000237487257,0.04768557846546173,0.9864864945411682,1.0,0.3525179922580719,0.5,3.8462066650390625,0.3525179922580719,1.0
11,0.9975961446762085,0.9999810457229614,0.0005000000237487257,0.046428970992565155,0.9931972622871399,1.0,0.3525179922580719,0.5,4.1369547843933105,0.3525179922580719,1.0
12,0.995192289352417,0.9999303221702576,0.0005000000237487257,0.04810122400522232,0.9897959232330322,0.9965753555297852,0.3525179922580719,0.5,4.38603401184082,0.3525179922580719,1.0
13,0.9975961446762085,0.999946117401123,0.0005000000237487257,0.04433976113796234,0.9931972622871399,1.0,0.3525179922580719,0.5,4.688473701477051,0.3525179922580719,1.0
14,0.9975961446762085,0.9999492764472961,0.0005000000237487257,0.04678045213222504,0.9965753555297852,0.9965753555297852,0.3525179922580719,0.5,4.983755588531494,0.3525179922580719,1.0
15,0.9987980723381042,0.9999715089797974,0.0002500000118743628,0.04228145629167557,0.9965870380401611,1.0,0.3525179922580719,0.5,5.162744522094727,0.3525179922580719,1.0
